name,w,h,rx,ry,rz,tx,ty,tz,fx,fy,px,py
Cam001,1017,744,-3.1308029224018386,0.0015915714008418655,-0.011885001472106443,0.01000425256705882,0.30119010449930644,2.305975783931527,1.7900507172670435,2.446883843360999,0.5027518479156613,0.5091246792654498
Cam002,1017,744,-3.129919351629093,0.00932121318169889,-0.012249158736242731,0.006433229900866904,0.8032865756480765,2.306521780414774,1.7930620912312438,2.4510001972878697,0.5072263952478209,0.493833012564046
Cam004,1017,744,3.097986203456445,-0.008492025274490177,0.006122390251159677,0.0121218644955187,1.796986562461201,2.2994728230491983,1.7918991868722536,2.4494105820552172,0.5044060959321982,0.5003351872889282
Cam005,744,1017,-2.6547373702038755,0.024059759077239336,0.17664867047907176,0.2897133256985954,-0.07183488429644186,1.9173188669447672,1.5574509706297641,1.1393741614046653,0.5066145903516341,0.5025968740309699
Cam006,744,1017,-2.6222907608294044,-0.019526599942059606,-0.18820296392612249,-0.2964886177793454,-0.07797849187825279,1.913979537781463,1.5664237142369863,1.145938292421158,0.5027864925391458,0.499892071655725
Cam007,744,1017,2.5463402271029154,0.023196910741558493,-0.1731483571739156,0.3150070729798774,2.4298983675994608,1.973711234053068,1.5449378381668135,1.1302200114022707,0.49447625686218194,0.5075994862118666
Cam008,744,1017,2.561817295428947,-0.0578815588874193,0.16649166012725206,-0.27211738141036174,2.4399904900979723,1.9770036379214762,1.5572719840302505,1.1392432213554635,0.49453601039859457,0.49104455915832296
Cam009,1017,744,-3.109910474930527,-0.00732304003311524,-0.4211827539678611,-0.6176198751688051,0.30876708004970593,2.247430875713165,1.794437452536603,2.452880227459308,0.5030124389005051,0.505725518564978
Cam010,1017,744,3.109866368061579,-0.028079045976324105,0.42314449262977877,-0.6196394165749287,0.8061273826195021,2.246472021631976,1.7944808271574892,2.452939517767697,0.5028358938345673,0.504416673287719
Cam011,1017,744,3.094569650590722,0.009092899038957913,0.4286082382750164,-0.6220060000843768,1.30419380313543,2.246935504491903,1.7914823585778392,2.4488408046689014,0.5080324576754379,0.49291964398238935
Cam012,1017,744,3.079083172347257,-0.03138179953010538,0.4330869998184423,-0.6225153706584421,1.803310375017161,2.243821992111585,1.7942136750443456,2.45257433806465,0.5078341100421956,0.4976241648765626
Cam013,1017,744,-3.020606408133543,0.007412345882306325,-0.8064319041917417,-1.160424953702315,0.308346852138836,2.012430558533413,1.7927906466752543,2.450629150092384,0.5017974259508484,0.5041400385356428
Cam014,1017,744,3.0329691131202443,-0.005605441066809469,0.7660090857066162,-1.165555409248935,0.8057352658879698,2.012328379500035,1.788879537145999,2.4452829156955387,0.5018692220596332,0.4894726795492489
Cam015,1017,744,3.033292948166692,0.0018347640361936327,0.8107039901829538,-1.168074949321406,1.3039723060481812,2.0159491299160583,1.7934570505210252,2.4515400811557564,0.5001868592464268,0.5015169286908143
Cam016,1017,744,3.0027022771427845,-0.03670630880819237,0.8179712551249935,-1.170436814394507,1.8003763685339629,2.015403062555777,1.7913932880250087,2.448719050969669,0.5094521655918448,0.5048972718947623
Cam017,1017,744,-2.896309075861286,8.308523333507996e-05,-1.20430567523946,-1.6313140329032358,0.31006022704116587,1.6232170708624138,1.7862988751292854,2.441755317213015,0.5012583369671101,0.5058442466575563
Cam018,1017,744,2.9012611420041168,-0.019810793289920945,1.196879971747413,-1.627611691869675,0.8080827109885859,1.6253999017364962,1.790993060620513,2.448171965928846,0.4971043674363553,0.5059917006243122
